layer,matrix,frob_svmo_over_W,frob_lora_raw_over_W,frob_lora_scaled_over_W,kurt_base,kurt_svmo,kurt_lora_raw,kurt_lora_scaled,maxstd_base,maxstd_svmo,maxstd_lora_raw,maxstd_lora_scaled
0,q_proj,0.0004988517030142248,0.01680910401046276,0.0004988255677744746,0.1286660639444932,0.12861910849905195,0.1284956613291752,0.1286641599970939,4.044678505665938,4.04456828774069,4.044822647920794,4.044691944094078
0,k_proj,0.0004335941921453923,0.013737219385802746,0.0004335938428994268,0.1764476660792107,0.1764959686428884,0.17611943935438157,0.17644415219812254,4.0504150185225285,4.050483176924165,4.049373296571359,4.050394958641335
0,v_proj,0.0008707905071787536,0.043786946684122086,0.0008707923698239028,0.11078267713878925,0.11074103249433301,0.1101593724767089,0.11078265972273811,3.9720620767653347,3.9719942217018507,3.9748122070123726,3.9721534734773947
0,o_proj,0.00010589347220957279,0.03182217478752136,0.00010588428995106369,1.617541015308753,1.6176286954656054,1.6139779663353886,1.6175392390908598,5.1694644249323085,5.1695486635667285,5.16752817625443,5.169464408783254
0,gate_proj,0.0007767247734591365,0.0239059217274189,0.0007765256450511515,709.5644921683203,709.56702968348,708.5991403022522,709.5632622548499,15.687960987208275,15.688145506615186,15.683522066933135,15.6879634640208
0,up_proj,7.675233064219356e-05,0.02934248372912407,7.67798483138904e-05,0.34674727056229215,0.34675281221498666,0.3416366005986893,0.34674785634494987,4.234038993539391,4.234042666220553,4.227617263313007,4.2340429459953475
0,down_proj,0.00035953710903413594,0.02802148461341858,0.00035977811785414815,1.3662146383287919,1.3661947963430892,1.3638565547076682,1.3662125226085817,5.382561405073433,5.382555104833464,5.381323467037967,5.382564512671692
1,q_proj,5.1183880714233965e-05,0.02555759623646736,5.118128683534451e-05,1.7222587885175087,1.7223312997322566,1.7209915436887029,1.7222622137218342,5.181558051610046,5.181602947788818,5.181007065163848,5.181560131878606
1,k_proj,0.0007897086907178164,0.018284766003489494,0.0007897093892097473,1.7403628348394484,1.7407402694497751,1.7314775912165414,1.7402491020756414,5.2022218512003064,5.202525869696666,5.200084644700483,5.2021920122048755
1,v_proj,0.00045937972026877105,0.03152771666646004,0.00045938033144921064,0.8536505588872849,0.853609150952455,0.8517865827284663,0.8536479544027904,4.573700936224901,4.573699348016733,4.572249682138795,4.573695501806133
1,o_proj,0.0004406520747579634,0.0276495311409235,0.0004406430234666914,0.6071330813462331,0.6070545968112138,0.6062589383812556,0.6071323209127905,4.391454044117036,4.391379412054376,4.391245970078886,4.391466447930648
1,gate_proj,0.00040286092553287745,0.02777070738375187,0.00040285641443915665,139.46244491600314,139.47168286449508,125.99614554532373,139.45852974725292,12.156460561820584,12.156302423324165,11.97439556919437,12.15679197889867
1,up_proj,0.000246148876613006,0.03266579657793045,0.0002461471303831786,2.7741870330264433,2.7734106122630764,2.382730312974343,2.7745366758726506,6.306842004742226,6.306562624059703,6.1957918004679415,6.30720769207924
1,down_proj,0.00037771312054246664,0.03390241041779518,0.0003777306410484016,2.68865387053378,2.688328310974781,2.6814257966420567,2.6886452944853203,6.161354892490232,6.161354410179455,6.158482644947559,6.16135438789405
2,q_proj,0.00016380332817789167,0.021808139979839325,0.00016380353190470487,0.5114657241984125,0.511423476486026,0.5108318993224568,0.5114657718307862,4.517670884806847,4.517586741616471,4.51661197810919,4.517669640564862
2,k_proj,0.0012195304734632373,0.016835983842611313,0.0012195308227092028,0.8875544294649181,0.8874025042723935,0.8872683363947682,0.8875767844511881,5.00513132738124,5.004634292447218,5.003586289177557,5.005073308114075
2,v_proj,0.0003961770562455058,0.03740387409925461,0.0003961783368140459,0.3571295701341563,0.3571140324974651,0.35591297906418196,0.3571269333482947,4.081045171084835,4.081052011311575,4.082476876454953,4.08107665055497
2,o_proj,9.44729326874949e-05,0.02740938775241375,9.446484909858555e-05,0.6110130445957438,0.611001575676768,0.6099052019374601,0.6110127038811696,4.411084824157621,4.41103255449572,4.409738138549233,4.411083554575484
2,gate_proj,7.3599721872597e-06,0.024470129981637,7.364135399257066e-06,67.10267772345574,67.10245921208409,64.77401366552422,67.10264885234092,9.146876216464848,9.146861446835436,9.095130468631089,9.146875503637835
2,up_proj,3.028860010090284e-05,0.031093765050172806,3.0288165362435393e-05,0.4287579359072861,0.4287365905451088,0.4388780171242102,0.4287885357535716,4.52437921139826,4.524356083217663,4.549764614466049,4.524424682434749
2,down_proj,0.0003154508303850889,0.02905740961432457,0.00031543770455755293,1.473154227523533,1.4730421610306375,1.470160855743589,1.4731516559966684,5.52362690909294,5.523638548050698,5.522473219139426,5.523632675960095
3,q_proj,0.00032393226865679026,0.02207072824239731,0.0003239462967030704,0.5382629086967621,0.5384789052113892,0.537143609447586,0.5382561258498497,4.549764676987651,4.549975919842538,4.548626828102869,4.549760895577781
3,k_proj,0.0009508044458925724,0.017440786585211754,0.0009508105576969683,0.7473441755074187,0.7477433734639758,0.7464543548821817,0.7473617245746361,4.862812404793403,4.863531474643854,4.861396337145918,4.862776907648366
3,v_proj,0.00036817489308305085,0.032154105603694916,0.0003681732923723757,0.6503032283306932,0.6503593779832826,0.6478433757047803,0.6502914641851913,4.609821391284421,4.609897684606892,4.6073013715459075,4.6098062446906445
3,o_proj,0.0003245860862080008,0.025604570284485817,0.00032456073677167296,1.4252516012925904,1.4252951335314605,1.4239350140520484,1.4252532237735227,4.723072832520126,4.723061742516963,4.722392120236358,4.723076160951904
3,gate_proj,0.0003968135279137641,0.02132376655936241,0.000397226307541132,0.3626929564235164,0.36279071293181175,0.3620291661180901,0.3626929406804026,4.116684463426351,4.1169538404611385,4.116380533701115,4.116689748108039
3,up_proj,0.00043841011938638985,0.025151466950774193,0.0004386710643302649,0.5631157962065287,0.5630598786754448,0.5622906386940872,0.563117821782447,4.085172368374911,4.085201784780719,4.085086426155691,4.085181654651345
3,down_proj,0.0008353788289241493,0.026188787072896957,0.0008354732999578118,1.1402594915253665,1.1402502951203568,1.1381298169636815,1.1402587260919648,5.503174523983939,5.5034038839036805,5.502392201187348,5.503196461567562
4,q_proj,0.0013405292993411422,0.021525129675865173,0.0013405311619862914,0.6957226645721372,0.6961830421332353,0.694570558430715,0.6957214778939436,4.7315093619429405,4.732119010829003,4.7304150470903386,4.73150568618688
4,k_proj,0.0007116245687939227,0.01827581785619259,0.0007116275955922902,0.8247387133923041,0.8247324860982346,0.8239008045725147,0.824749022962979,4.662303105617674,4.662159974759433,4.662628167023328,4.662336063918914
4,v_proj,0.0006820540293119848,0.026573998853564262,0.0006820547860115767,0.3078352976320129,0.30782851911532966,0.3074933180943493,0.30783928055244913,4.119911993731209,4.119943659745099,4.1188286704757555,4.119909149205692
4,o_proj,0.0007394212298095226,0.027307698503136635,0.0007393952691927552,0.7332530268773496,0.7332818091919062,0.7320473578725426,0.7332468730403264,4.4778464424126945,4.477950293894984,4.477526743424943,4.477868861840401
4,gate_proj,0.001016636611893773,0.020934907719492912,0.001017021480947733,0.24805925397696948,0.24752058384297823,0.2477568667362558,0.24806060032367122,4.19111330563395,4.18959713834646,4.191014199317354,4.191136446592823
4,up_proj,0.0002973688533529639,0.025167785584926605,0.0002974240342155099,0.28791881112860557,0.28793247526497023,0.28756083223856893,0.28791932521268815,4.049986697998265,4.0500231940386175,4.049755581892698,4.049990503511321
4,down_proj,0.0001850320550147444,0.027151821181178093,0.0001850411354098469,1.2800181227509253,1.279991538442275,1.2776649220051972,1.2800171171341137,5.410754461630751,5.410830738026284,5.409855591862668,5.410758767581165
5,q_proj,8.546072785975412e-05,0.0232473723590374,8.546000753995031e-05,0.6545229895095261,0.654581355117808,0.6537995535001163,0.6545248708595167,4.720574392510828,4.720641264563914,4.720576440295387,4.720579152675975
5,k_proj,0.00021755856869276613,0.02064538560807705,0.00021755840862169862,1.1804292143284612,1.180485401908114,1.1784608420890548,1.1804260332825933,4.733554558371708,4.733555474526502,4.734264105940326,4.7335716548416
5,v_proj,0.00014186710177455097,0.02907351776957512,0.00014186777116265148,0.2972096957806705,0.29719984969068264,0.29739331897773236,0.2972130917709659,4.138104838257818,4.138093057441272,4.14113586933681,4.138124674212604
5,o_proj,0.0006781109259463847,0.02840486913919449,0.0006780977128073573,0.582820434378673,0.5830530315631333,0.5818982836334968,0.5828175220855198,4.397836155274681,4.398046137830134,4.397460214348627,4.397853797747516
5,gate_proj,0.00015390792395919561,0.022090336307883263,0.00015401383279822767,0.31158907914630285,0.31150885737243494,0.3110208422784553,0.31158931464062845,4.193763472636864,4.193552239005132,4.193324954573402,4.193765864629401
5,up_proj,0.0001669973717071116,0.02422921732068062,0.00016718542610760778,0.47318132184480693,0.4731900671680769,0.4726405027192601,0.47318138305620766,4.060775692782321,4.060760644733481,4.0602922590056725,4.060776023668519
5,down_proj,0.00023509831225965172,0.024137716740369797,0.0002354115276830271,1.3144701894635615,1.314375708084069,1.3118265244925864,1.314468590604625,5.344889590593608,5.344940808778483,5.344364654552874,5.344895715115803
6,q_proj,0.00023599698033649474,0.022307440638542175,0.00023599657288286835,0.5270319041362738,0.5269190716607011,0.5261046127102131,0.5270310873686584,4.659711370196763,4.659590778932184,4.658625646918537,4.65971175561576
6,k_proj,0.0017543513095006347,0.01834937371313572,0.0017543479334563017,0.9128472285708044,0.9122708037091334,0.9131437895363783,0.9130348487856932,4.63405310046509,4.633328910306976,4.634445653887209,4.634157768703351
6,v_proj,0.00106660311575979,0.027085762470960617,0.0010666113812476397,0.2958173419287451,0.29581777922893265,0.295225060613203,0.29581139017414315,4.210145036415277,4.210254662558886,4.208963441147219,4.210139540360354
6,o_proj,6.154143920866773e-05,0.026948561891913414,6.153995491331443e-05,0.6271580833149074,0.6271590960135145,0.6262489655307762,0.6271578731140727,4.402893873017778,4.402901423503031,4.402637341247121,4.40289560242925
6,gate_proj,0.00023934802447911352,0.021419160068035126,0.00023934588534757495,1.0454184972401204,1.0458194281837014,1.044156903871283,1.0454207050722748,4.939680930168749,4.940697460502208,4.939275473680503,4.939686250495841
