layer,matrix,variant,mean_kurtosis,mean_max_std_ratio,frob_norm,delta_frob_over_W_frob
0,q_proj,base,0.1286660639444932,4.044678505665938,74.54172752717375,0.0
0,q_proj,svmo,0.12861910849905195,4.04456828774069,74.51872229938864,0.0004988517030142248
0,q_proj,lora,0.1284956613291752,4.044822647920794,74.55205628100312,0.01680910401046276
0,k_proj,base,0.1764476660792107,4.0504150185225285,37.19750106291962,0.0
0,k_proj,svmo,0.1764959686428884,4.050483176924165,37.208485120010835,0.0004335941921453923
0,k_proj,lora,0.17611943935438157,4.049373296571359,37.20098593625551,0.013737219385802746
0,v_proj,base,0.11078267713878925,3.9720620767653347,12.189848793740916,0.0
0,v_proj,svmo,0.11074103249433301,3.9719942217018507,12.18372660093796,0.0008707905071787536
0,v_proj,lora,0.1101593724767089,3.9748122070123726,12.201775206984971,0.043786946684122086
0,o_proj,base,1.617541015308753,5.1694644249323085,44.581788104609146,0.0
0,o_proj,svmo,1.6176286954656054,5.1695486635667285,44.58376524133622,0.00010589347220957279
0,o_proj,lora,1.6139779663353886,5.16752817625443,44.60388861911194,0.03182217478752136
0,gate_proj,base,709.5644921683203,15.687960987208275,126.55920597305523,0.0
0,gate_proj,svmo,709.56702968348,15.688145506615186,126.60979133615598,0.0007767247734591365
0,gate_proj,lora,708.5991403022522,15.683522066933135,126.5953978296168,0.0239059217274189
0,up_proj,base,0.34674727056229215,4.234038993539391,108.76735867415904,0.0
0,up_proj,svmo,0.34675281221498666,4.234042666220553,108.76415468033977,7.675233064219356e-05
0,up_proj,lora,0.3416366005986893,4.227617263313007,108.8143277800976,0.02934248372912407
0,down_proj,base,1.3662146383287919,5.382561405073433,115.2490974404192,0.0
0,down_proj,svmo,1.3661947963430892,5.382555104833464,115.26199107711881,0.00035953710903413594
0,down_proj,lora,1.3638565547076682,5.381323467037967,115.2939574213076,0.02802148461341858
1,q_proj,base,1.7222587885175087,5.181558051610046,56.73764754782849,0.0
1,q_proj,svmo,1.7223312997322566,5.181602947788818,56.73972594748458,5.1183880714233965e-05
1,q_proj,lora,1.7209915436887029,5.181007065163848,56.75495644398942,0.02555759623646736
1,k_proj,base,1.7403628348394484,5.2022218512003064,29.890036846377825,0.0
1,k_proj,svmo,1.7407402694497751,5.202525869696666,29.910772423459026,0.0007897086907178164
1,k_proj,lora,1.7314775912165414,5.200084644700483,29.894257693361315,0.018284766003489494
1,v_proj,base,0.8536505588872849,4.573700936224901,18.31095231429527,0.0
1,v_proj,svmo,0.853609150952455,4.573699348016733,18.305637494051872,0.00045937972026877105
1,v_proj,lora,0.8517865827284663,4.572249682138795,18.32024655325016,0.03152771666646004
1,o_proj,base,0.6071330813462331,4.391454044117036,51.755589048916235,0.0
1,o_proj,svmo,0.6070545968112138,4.391379412054376,51.744450015912044,0.0004406520747579634
1,o_proj,lora,0.6062589383812556,4.391245970078886,51.77552859818154,0.0276495311409235
1,gate_proj,base,139.46244491600314,12.156460561820584,123.12041208827749,0.0
1,gate_proj,svmo,139.47168286449508,12.156302423324165,123.09574445071964,0.00040286092553287745
1,gate_proj,lora,125.99614554532373,11.97439556919437,123.17085450040904,0.02777070738375187
1,up_proj,base,2.7741870330264433,6.306842004742226,101.29892867925676,0.0
1,up_proj,svmo,2.7734106122630764,6.306562624059703,101.3091451962622,0.000246148876613006
1,up_proj,lora,2.382730312974343,6.1957918004679415,101.3554949529971,0.03266579657793045
1,down_proj,base,2.68865387053378,6.161354892490232,101.47038183191364,0.0
1,down_proj,svmo,2.688328310974781,6.161354410179455,101.48474419874621,0.00037771312054246664
1,down_proj,lora,2.6814257966420567,6.158482644947559,101.52785485381997,0.03390241041779518
2,q_proj,base,0.5114657241984125,4.517670884806847,65.36730749414376,0.0
2,q_proj,svmo,0.511423476486026,4.517586741616471,65.36185035852628,0.00016380332817789167
2,q_proj,lora,0.5108318993224568,4.51661197810919,65.38300135989914,0.021808139979839325
2,k_proj,base,0.8875544294649181,5.00513132738124,31.769350150114434,0.0
2,k_proj,svmo,0.8874025042723935,5.004634292447218,31.741552808892443,0.0012195304734632373
2,k_proj,lora,0.8872683363947682,5.003586289177557,31.773313118231005,0.016835983842611313
2,v_proj,base,0.3571295701341563,4.081045171084835,14.764397260222943,0.0
2,v_proj,svmo,0.3571140324974651,4.081052011311575,14.760681449244577,0.0003961770562455058
2,v_proj,lora,0.35591297906418196,4.082476876454953,14.77434856127581,0.03740387409925461
2,o_proj,base,0.6110130445957438,4.411084824157621,50.639074570119156,0.0
2,o_proj,svmo,0.611001575676768,4.41103255449572,50.63690864584954,9.44729326874949e-05
2,o_proj,lora,0.6099052019374601,4.409738138549233,50.65714482514989,0.02740938775241375
2,gate_proj,base,67.10267772345574,9.146876216464848,138.73032306357246,0.0
2,gate_proj,svmo,67.10245921208409,9.146861446835436,138.72981566905617,7.3599721872597e-06
2,gate_proj,lora,64.77401366552422,9.095130468631089,138.7718458979097,0.024470129981637
2,up_proj,base,0.4287579359072861,4.52437921139826,112.65745612544086,0.0
2,up_proj,svmo,0.4287365905451088,4.524356083217663,112.65872779516772,3.028860010090284e-05
2,up_proj,lora,0.4388780171242102,4.549764614466049,112.7108253631004,0.031093765050172806
